영업 내용,영업일,신규or기존,지역그룹,거래처,거래처 담당자,담당자,상태,영업 제품,업무 내용,Action_Type,검토상태
제천성지병원 PENKO SURGI PAD 제품설명,2026/08/20,기존 병원,세종충북,제천성지병원 (https://app.notion.com/p/3b5fd9fcb8cd8140b276e7c4d6ef392b?pvs=21),구매과,이재덕,영업시도,PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21),"제천성지병원 구매과에 써지패드와 힙조인트 제품을 설명하였으나, 병원 측은 현재 엑스밴드 제품을 사용 중이라고 답했습니다.",제품설명·소개,신규확인필요
청주 하나병원 ANGIO 시술용 키트 PR03 (Adv.) 샘플/데모,2026/08/20,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),구매과,이재덕,영업시도,ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21),"청주 하나병원 구매과에 ANGIO 시술용 키트 샘플을 전달하였으며, 구매과에서 이를 심혈관센터에 전달하기로 하였습니다.",샘플·데모,완료
청주탑병원 bh 제품 제품설명,2026/08/20,기존 병원,세종충북,청주탑병원 (https://app.notion.com/p/3b5fd9fcb8cd81099e2adcbba17ae8c9?pvs=21),구매과 bh,이재덕,영업시도,,청주탑병원 구매과에 bh 제품을 상세히 소개했습니다. 이미 청주 대리점 직원이 방문했었다는 사실을 확인했습니다.,제품설명·소개,신규확인필요
청주 마디사랑병원 DVT SLEEVE 발타입 허벅지부분 샘플/데모,2026/08/20,기존 병원,세종충북,청주 마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd810f949dc3ed4d33b6b5?pvs=21),구매과 직원,이재덕,영업시도,,청주 마디사랑병원에서 암슬리브 샘플을 수거했습니다. 구매과 직원이 타 의료기기 회사로 이직할 예정임을 파악했습니다.,샘플·데모,신규확인필요
옥천성모병원 힙조인트 제품 제품설명,2026/08/20,기존 병원,세종충북,옥천성모병원 (https://app.notion.com/p/1d6490ab72a64fa7a1e874bed8d3ee80?pvs=21),과장,이재덕,영업시도,,"옥천성모병원에 힙조인트 제품 등을 소개하였으나 과장이 기존 제품 사용을 고집하여 거절당했습니다. 향후 기회가 되면 과장에게 직접 제품 상세 설명을 진행할 예정입니다.
다음: 과장 직접 디테일 및 제품 설명 시도",제품설명·소개,신규확인필요
,,,,,,,영업시도,,,,
보은한양병원 내시경바지 미팅진행,2026/08/20,기존 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),,이재덕,영업시도,,"보은한양병원에 이전에 전달한 내시경바지 샘플 피드백을 확인했습니다. 병원 측에서 현재 내과의를 구하지 못해 사용 전이며, 구인 후 내시경실이 운영되면 사용할 예정이라고 합니다.
다음: 내시경 내과의 충원 여부 확인 및 추후 재방문",관계관리,신규확인필요
미즈맘산부인과의원 납품,2026/08/19,기존 병원,서산당진,미즈맘산부인과의원 (https://app.notion.com/p/3b2fd9fcb8cd81eda344f77d3111bddb?pvs=21),,이은필,영업완료,,미즈맘산부인과의원에 제품 납품을 완료하였습니다.,납품·설치,완료
충북대학교병원 ANGIO 시술용 키트 PR03 (Adv.) 미팅진행,2026/08/18,기존 병원,세종충북,충북대학교병원 (https://app.notion.com/p/ba520b40010143dfae0d3ff058b73012?pvs=21),최웅길 교수,이재덕,영업시도,ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21),충북대학교병원 심장내과 최웅길 교수와 면담을 진행하여 ANGIO 시술용 키트 PR03 (Adv.)의 사용을 독려하였습니다.,관계관리,완료
청주의료원 PENKO SURGI PAD 제품설명,2026/08/18,기존 병원,세종충북,청주의료원 (https://app.notion.com/p/3b2fd9fcb8cd81c5a6aaf095c6e24261?pvs=21),김윤호 과장,이재덕,영업시도,PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21),"청주의료원 정형외과 김윤호 과장에게 써지패드를 소개했으나 기존 사용 제품이 있다고 하였습니다. 향후 써지패드 x-ray 제품으로 계속 방문할 예정입니다.
다음: 써지패드 x-ray 제품으로 지속 방문 및 영업 진행",제품설명·소개,완료
청주 하나병원 미팅진행,2026/08/18,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),,이재덕,영업시도,,"청주 하나병원 구매과에 방문하였으나 담당자 부재로 만나지 못했습니다.
다음: 차후 구매과 담당자 재방문 예정",관계관리,완료
청주 윈윈os PENKO SURGI PAD 제품설명,2026/08/18,신규 병원,세종충북,,구매과 담당자,이재덕,영업시도,PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21),청주 윈윈os 구매과 담당자를 방문하여 펜코 제품군에 대한 상세 설명 및 디테일 영업을 진행했습니다.,제품설명·소개,신규확인필요
청주 방서미즈닥터 납품,2026/08/18,기존 병원,세종충북,청주 방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd814dbb17d4c90b92d185?pvs=21),,이재덕,영업완료,,청주 방서미즈닥터에 제품을 납품하였습니다.,납품·설치,완료
엠에스여성의원 납품,2026/08/18,기존 병원,세종충북,엠에스여성의원 (https://app.notion.com/p/3b2fd9fcb8cd81718778d8073602d2c4?pvs=21),,이재덕,영업완료,,엠에스여성의원에 납품을 완료하였습니다.,납품·설치,완료
미즈맘산부인과의원 납품,2026/08/18,기존 병원,서산당진,모태안여성병원 (https://app.notion.com/p/3b2fd9fcb8cd8155911ec5bd84013f09?pvs=21),,이재덕,영업시도,,미즈맘산부인과의원에 납품을 완료하였습니다.,납품·설치,완료
청담튼튼 납품,2026/08/18,기존 병원,,청담튼튼 (https://app.notion.com/p/3b5fd9fcb8cd81b98857ccf98f38f7c8?pvs=21),,이은필,영업완료,,청담튼튼에 물품 납품을 완료하였습니다.,납품·설치,완료
분당제일여성병원 납품,2026/08/18,기존 병원,서울경기,분당제일여성병원 (https://app.notion.com/p/3b2fd9fcb8cd816fa819fecaebcc1b6d?pvs=21),,이은필,영업완료,,분당제일여성병원에 제품 납품을 완료하였습니다.,납품·설치,완료
분당제일여성병원 미팅진행,2026/08/18,기존 병원,서울경기,분당제일여성병원 (https://app.notion.com/p/3b2fd9fcb8cd816fa819fecaebcc1b6d?pvs=21),,이은필,영업완료,,분당제일여성병원을 방문하여 영업을 진행했습니다.,관계관리,완료
서주태 비뇨기과 의원 방문,2026/08/18,기존 병원,서울경기,서주태 비뇨기과 의원 (https://app.notion.com/p/3b2fd9fcb8cd81e1a2b0cf50b751133e?pvs=21),,이은필,영업완료,,서주태 비뇨기과 의원의 결재가 완료되었습니다.,기타,완료
미즈러브여성비뇨기과의원 납품,2026/08/18,기존 병원,서울경기,미즈러브여성비뇨기과의원 (https://app.notion.com/p/3b2fd9fcb8cd8153b7ddcda1aaa58179?pvs=21),,이은필,영업완료,,미즈러브여성비뇨기과의원에 납품을 진행하였습니다.,납품·설치,완료
담소유병원 에어웨이 납품,2026/08/18,기존 병원,서울경기,담소유병원 (https://app.notion.com/p/3b2fd9fcb8cd8189b20fed5f65b5992d?pvs=21),최홍구 대리,이은필,영업시도,,"담소유병원 최홍구 대리의 휴가 기간 중 미납 품목을 납품하고 에어웨이 발주를 진행했습니다. 해당 건은 이번 주까지 납품을 완료할 예정입니다.
다음: 이번 주 내로 에어웨이 및 미납 품목 납품 완료",납품·설치,신규확인필요
서산중앙병원 ANGIO 시술용 키트 PR03 (Adv.) 제품설명,2026/08/14,기존 병원,서산당진,서산중앙병원 (https://app.notion.com/p/96fda86d9e5447878e3c62e2131a2304?pvs=21),,이은필,영업시도,"ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21), MULTI USEFUL Sheet U-type 90x90 (https://app.notion.com/p/MULTI-USEFUL-Sheet-U-type-90x90-3b2fd9fcb8cd812d8378c1635cd03fd4?pvs=21)","서산중앙병원에 ANGIO 시술용 키트 납품이 확정되었습니다. 추가적으로 복강경 패키지 차이점 설명, 유틸리티 드레이프 단가 확인 및 신규 제품 구성 변경 문의에 대한 대응이 필요합니다.
다음: 복강경 패키지 차이점 설명 준비, UTILITY DRAPE 단가 확인, BSH1720 제품의 구성 변경 가능 여부 확인 후 피드백",제품설명·소개,신규확인필요
(의)영훈의료재단유성선병원 ANGIO 시술용 키트 PR03 (Adv.) 샘플/데모,2026/08/13,기존 병원,대전논산,(의)영훈의료재단유성선병원 (https://app.notion.com/p/ae1c9008543340fa9a107374d735d452?pvs=21),조영실 실장,최진웅,영업시도,ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21),"대전 한국병원의 조영실 실장은 만나지 못해 명함을 남겼으며 다음 주에 재방문할 예정입니다. 유성선병원에는 C라인과 엔지오키트 최종 샘플을 한 번 더 전달하기로 했습니다.
다음: 다음 주 대전 한국병원 재방문 및 유성선병원 최종 샘플 전달",샘플·데모,신규확인필요
미래산부인과 Oxy9wave 견적제출,2026/08/13,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),,이우식,영업시도,,미래산부인과에 Oxy9wave 새 제품의 견적을 88만 원으로 제출하였습니다.,견적제출,완료
미래산부인과 Oxy9wave A/S,2026/08/13,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),,이우식,영업시도,,"미래산부인과의 Oxy9wave 1대 수리를 한결메디칼에 의뢰하였습니다. 업체 휴가 기간으로 인해 다음 주 중으로 점검 결과가 나올 예정입니다.
다음: 다음 주 중 한결메디칼 수리 진행 상황 확인",A/S·클레임,완료
예일산부인과 IPS720 장비 납품,2026/08/13,기존 병원,평택,예일산부인과 (https://app.notion.com/p/3b2fd9fcb8cd818db20df6e7e72ece45?pvs=21),분만실 수간호사,이우식,영업시도,,"예일산부인과 분만실에 IPS720 장비를 세팅했으나 모니터카트 형태로 재세팅을 요청받았습니다. 금주 중 주문을 진행하여 다음 주에 재세팅할 예정입니다.
다음: 금주 내 주문 완료 후 다음 주 중 모니터카트 재세팅 완료",납품·설치,완료
연세하임산부인과의원 b400제품 A/S,2026/08/12,기존 병원,천안아산,연세하임산부인과의원 (https://app.notion.com/p/3b2fd9fcb8cd8151b64ddef51bcf4d52?pvs=21),,이은필,영업시도,,연세하임산부인과의원의 b400 제품에 대한 A/S를 접수하였습니다.,A/S·클레임,완료
담소유병원 멤브레인주사기 일체형 납품,2026/08/12,기존 병원,서울경기,담소유병원 (https://app.notion.com/p/3b2fd9fcb8cd8189b20fed5f65b5992d?pvs=21),,이은필,영업시도,,"다음 주부터 납품 시 담당자 검수 후 층별 납품을 진행해야 합니다. 멤브레인 주사기 일체형 2곽 발주 및 청연메디칼을 통한 엔도튜브 수급이 필요합니다.
다음: 다음 주 납품 시 담당자 검수 후 층별 납품 진행 및 청연메디칼에서 엔도튜브 3.0 1박스 수령",납품·설치,신규확인필요
충북대학교병원 ANGIO 시술용 키트 PR03 (Adv.) 제품설명,2026/08/11,기존 병원,세종충북,충북대학교병원 (https://app.notion.com/p/ba520b40010143dfae0d3ff058b73012?pvs=21),권택근 교수,이재덕,영업시도,ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21),"충북대학교병원 심장내과 권택근 교수를 면담하여 앤지오킷의 인정비급여 여부 및 단가에 대해 안내했습니다. 향후 최웅길, 김상민 교수를 추가로 방문하여 영업할 예정입니다.
다음: 최웅길, 김상민 교수 방문 및 영업 진행",제품설명·소개,완료
뿌리병원 아이기스 제품설명,2026/08/11,기존 병원,,뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81f39984c99b28445d1b?pvs=21),구매과 담당자,이재덕,영업시도,,"뿌리병원 구매과 면담을 통해 아이기스 외 제품을 소개하였으나 반응이 미온적이었습니다. 구매 담당자의 평판을 다각도로 파악 중입니다.
다음: 구매과 담당자 평판 파악 및 향후 영업 방향성 모색",제품설명·소개,신규확인필요
청주 마디사랑병원 DVT SLEEVE 발타입 허벅지부분 제품설명,2026/08/11,기존 병원,세종충북,청주 마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd810f949dc3ed4d33b6b5?pvs=21),구매과,이재덕,영업시도,"DVT SLEEVE 발타입 허벅지부분 (https://app.notion.com/p/DVT-SLEEVE-3b2fd9fcb8cd8162a0a0f4e67feb838f?pvs=21), PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21)","청주 마디사랑병원 구매과 면담 결과, 닥터암슬리브 사용 계획은 미정이며 서지패드도 타사 제품을 사용 중입니다. 향후 펜코 제품으로 지속적인 제품 디테일을 진행할 예정입니다.
다음: 펜코 제품 중심의 지속적인 디테일 영업 진행",제품설명·소개,신규확인필요
천안우리병원 PENKO SURGI PAD 제품설명,2026/08/11,신규 병원,천안아산,천안우리병원 (https://app.notion.com/p/3bcfd9fcb8cd8068bdc6f6ad5e6828b6?pvs=21),박종환 부장,이은필,영업시도,"PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21), PENKO DF SURGI SWORD (https://app.notion.com/p/PENKO-DF-SURGI-SWORD-3b2fd9fcb8cd81b782dacd6ffbe4d5db?pvs=21)","천안우리병원 기획관리부 박종환 부장을 만나 서지패드, 서지소드 및 밴드골드 FIX-TB 브로셔를 전달했습니다. 펜코 제품은 현재 타사에서 납품 중임을 확인했습니다.",제품설명·소개,신규확인필요
모태안여성병원 GYNE COLLA 샘플/데모,2026/08/11,기존 병원,세종충북,모태안여성병원 (https://app.notion.com/p/3b2fd9fcb8cd8155911ec5bd84013f09?pvs=21),,이은필,영업시도,GYNE COLLA (https://app.notion.com/p/GYNE-COLLA-3b2fd9fcb8cd8137bad0c7a1ca63f64a?pvs=21),"모태안여성병원으로부터 올림프스발판 수리 요청을 받았으며, 태아심전도 bt350 데모 및 250, fc1400 제안서를 제공했습니다.",샘플·데모,신규확인필요
충북대학교병원 미팅진행,2026/08/10,기존 병원,세종충북,충북대학교병원 (https://app.notion.com/p/ba520b40010143dfae0d3ff058b73012?pvs=21),김호순,이재덕,영업시도,,"충북대학교병원 산부인과 김호순 선생님과 면담하여 8월 28일 김정미 교수 수술 일정에 맞춘 장비 사용 가능 여부를 논의했습니다. 장비업체에 연락하여 지원 가능 여부를 확인한 후 피드백을 주기로 했습니다.
다음: 장비업체에 연락하여 8월 28일 장비 지원 가능 여부를 타진하고 김호순 선생님께 피드백 제공",관계관리,완료
청주 하나병원 ANGIO 시술용 키트 PR03 (Adv.) 제품설명,2026/08/10,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),구매과 담당자,이재덕,영업시도,ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21),"청주 하나병원 구매과를 방문하여 ANGIO 시술용 키트 PR03 (Adv.) 면담을 진행하고 충북대병원 납품 실적을 공유했습니다. 담당자 휴가 일정으로 인해 다음 주에 다시 연락하여 논의를 이어가기로 했습니다.
다음: 다음 주에 구매과 담당자에게 연락하여 후속 논의 진행",제품설명·소개,완료
청주효성병원 ANGIO 시술용 키트 PR03 (Adv.) 제품설명,2026/08/10,기존 병원,세종충북,청주효성병원 (https://app.notion.com/p/4ed256ac06214acc9c65ebb903123c3c?pvs=21),구매과,이재덕,영업시도,ANGIO 시술용 키트 PR03 (Adv.) (https://app.notion.com/p/ANGIO-PR03-Adv-3b2fd9fcb8cd816d9e80c13351bf5a01?pvs=21),청주효성병원 구매과를 방문하여 앤지오키트 도입을 위한 면담을 진행했습니다. 충북대학교병원 납품 이력을 언급하며 홍보하였으나 큰 반응은 얻지 못했습니다.,제품설명·소개,완료
청주 한국병원 PENKO SURGI PAD 샘플/데모,2026/08/10,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),신영미 팀장,이재덕,영업시도,PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21),청주 한국병원 수술방 신영미 팀장에게 펜코 서포트 플레이트 샘플을 전달했습니다. 해당 샘플은 GS 수술방으로 전달될 예정입니다.,샘플·데모,신규확인필요
청주 한국병원 큐어폼 Cureform 4x5cm A/S,2026/08/10,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),신희용 과장,이재덕,영업시도,"큐어폼 Cureform 4x5cm (https://app.notion.com/p/Cureform-4x5cm-3b2fd9fcb8cd8151a122f6e3f4bc6c93?pvs=21), 큐어폼 Cureform 5x7cm (https://app.notion.com/p/Cureform-5x7cm-3b2fd9fcb8cd8110a56ec09acca769d1?pvs=21)",청주 한국병원 외과 신희용 과장과 면담을 진행했습니다. 신 과장은 큐어폼의 사용 편의성이 떨어진다는 피드백을 전달했습니다.,A/S·클레임,완료
청주 한국병원 트로카 제품설명,2026/08/10,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),박정현 과장,이재덕,영업시도,,청주 한국병원 산부인과 박정현 과장에게 트로카 제품 도입을 제안했으나 사용이 어렵다는 피드백을 받았습니다. 외과 영역 또한 타사 제품의 높은 점유율로 인해 진입이 어려운 상황입니다.,제품설명·소개,신규확인필요
청주 한국병원 니들홀더 납품,2026/08/10,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),,이재덕,영업시도,,청주 한국병원 수술실에 니들홀더를 납품하고 기존에 제공했던 데모 장비를 회수하였습니다.,납품·설치,신규확인필요
유엔비 외과의원 PENKO SURGI PAD 납품,2026/08/10,기존 병원,서울경기,유엔비 외과의원 (https://app.notion.com/p/3b2fd9fcb8cd8111940acecbbea315e5?pvs=21),,이은필,영업시도,PENKO SURGI PAD (https://app.notion.com/p/PENKO-SURGI-PAD-3b2fd9fcb8cd81bd88afd489c62ac823?pvs=21),"유엔비 외과의원에 제품을 납품하고 서지패드 샘플을 제공하였습니다. 다만 급여 제품에 대한 반응은 미온적이었으며 아프로코리아 데모를 진행했습니다.
다음: 제공된 서지패드 샘플에 대한 피드백 확인",납품·설치,완료
영동병원 신규 아이템 소개,2025/12/19,신규 병원,세종충북,영동병원 (https://app.notion.com/p/3b5fd9fcb8cd81e98c95d7098b5ce4e9?pvs=21),"관리팀 총무팀, 구매",이재덕,영업완료,,"트로카 디테일, 방문예약하라고 함.",,완료
옥천 성모병원 정보 수집,2025/12/19,기존 병원,세종충북,옥천성모병원 (https://app.notion.com/p/1d6490ab72a64fa7a1e874bed8d3ee80?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"드레싱키트 정보 수집, 이지큐본드(EzQbond) 디테일 설명.",,완료
옥천 서울연합os 정보 수집,2025/12/19,신규 병원,세종충북,옥천 서울연합정형외과 (https://app.notion.com/p/3b5fd9fcb8cd8195a101d9f271320fe0?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,이지큐본드(EzQbond) 디테일 설명. 본드는 안 써봤음. 수처(Suture)환자 거의 없음.,,완료
